engine,query_id,repetition,planner_ms,planner_binding_ms,optimizer_ms,physical_planner_ms,status
duckdb,query_28,4,1.9517,1.9247,1.0051,2.2944,ok
duckdb,query_29,4,1.5555,1.5344,1.1919,2.0235,ok
duckdb,query_3,4,1.5684,1.5525,1.3308,3.8517,ok
duckdb,query_30,4,1.1335,1.1252,0.6621,1.3219,ok
duckdb,query_31,4,0.3731,0.3705,0.3847,0.5394,ok
duckdb,query_32,4,0.3915,0.3890,0.3776,0.7039,ok
duckdb,query_33,4,0.9228,0.9203,1.7705,1.4810,ok
duckdb,query_34,4,0.8462,0.8432,0.7001,1.3631,ok
duckdb,query_35,4,0.5530,0.5506,0.4178,0.6571,ok
duckdb,query_36,4,1.6215,1.6186,1.3858,1.2715,ok
duckdb,query_37,4,0.8654,0.8472,0.5135,1.4205,ok
duckdb,query_38,4,0.5916,0.5827,0.4562,0.8334,ok
duckdb,query_39,4,3.9591,3.9551,2.8270,5.0684,ok
duckdb,query_4,4,0.5782,0.5756,0.4780,0.9023,ok
duckdb,query_40,4,0.7006,0.6980,0.5571,0.8979,ok
duckdb,query_41,4,0.7612,0.7583,1.6377,1.6462,ok
duckdb,query_42,4,1.1080,1.0808,0.8364,1.7223,ok
duckdb,query_43,4,0.7656,0.7607,0.8808,1.2494,ok
duckdb,query_44,4,0.5632,0.5527,0.5136,1.0043,ok
duckdb,query_45,4,0.2450,0.2426,0.2545,0.4234,ok
duckdb,query_46,4,0.8319,0.8205,0.4301,0.9371,ok
duckdb,query_47,4,1.9256,1.9031,0.9920,2.4713,ok
duckdb,query_48,4,1.9929,1.9897,1.3804,2.5960,ok
duckdb,query_49,4,3.1975,3.1932,1.0928,2.3887,ok
duckdb,query_5,4,0.6388,0.6299,0.5527,1.1841,ok
duckdb,query_50,4,1.1711,1.1606,1.6968,2.9149,ok
duckdb,query_51,4,1.4512,1.4378,0.8181,2.2584,ok
duckdb,query_52,4,0.3079,0.3058,0.2323,0.3568,ok
duckdb,query_53,4,0.6823,0.6796,1.6490,1.3613,ok
duckdb,query_54,4,0.7767,0.7743,0.5429,1.7685,ok
duckdb,query_55,4,0.2994,0.2968,0.2195,0.4045,ok
duckdb,query_56,4,0.5501,0.5476,0.5446,0.8490,ok
duckdb,query_57,4,0.3655,0.3632,0.4760,0.7431,ok
duckdb,query_58,4,0.6949,0.6845,0.6756,1.7094,ok
duckdb,query_59,4,0.2531,0.2506,0.2728,0.4578,ok
duckdb,query_6,4,2.3725,2.3434,1.5674,3.2269,ok
duckdb,query_60,4,1.3044,1.3015,1.2449,1.0657,ok
duckdb,query_61,4,0.2695,0.2670,0.2778,0.4755,ok
duckdb,query_62,4,0.8177,0.7941,1.1790,1.1253,ok
duckdb,query_63,4,2.5603,2.5574,1.8423,2.1704,ok
duckdb,query_64,4,0.4168,0.4140,0.3746,0.6108,ok
duckdb,query_65,4,0.4103,0.4078,0.3769,0.6079,ok
duckdb,query_66,4,3.5074,3.5036,8.1958,3.7819,ok
duckdb,query_67,4,0.3694,0.3669,0.4389,0.6278,ok
duckdb,query_68,4,1.7507,1.7282,1.3525,3.4064,ok
duckdb,query_69,4,2.9939,2.9726,1.9781,5.9372,ok
duckdb,query_7,4,0.5686,0.5583,0.4939,1.0349,ok
duckdb,query_70,4,1.0409,1.0239,0.7851,1.6112,ok
duckdb,query_71,4,0.7022,0.6997,0.5566,1.4814,ok
duckdb,query_72,4,0.6615,0.6587,0.6180,1.4694,ok
duckdb,query_73,4,0.5980,0.5957,0.7153,1.2407,ok
duckdb,query_74,4,0.5574,0.5554,0.7613,0.8717,ok
duckdb,query_75,4,0.7915,0.7776,0.5003,1.3132,ok
duckdb,query_76,4,1.3205,1.3094,0.7221,2.0348,ok
duckdb,query_77,4,0.7517,0.7493,0.5403,1.7656,ok
duckdb,query_78,4,2.2905,2.2473,1.3891,3.1667,ok
duckdb,query_79,4,0.5439,0.5416,0.6168,1.0710,ok
duckdb,query_8,4,0.4933,0.4904,0.6634,0.9231,ok
duckdb,query_80,4,0.4045,0.4022,0.4855,0.5727,ok
duckdb,query_81,4,1.6228,1.6015,1.0978,2.3750,ok
duckdb,query_82,4,0.2461,0.2438,0.2477,0.3943,ok
duckdb,query_83,4,1.6162,1.5943,1.0805,2.2281,ok
duckdb,query_84,4,1.1007,1.0883,0.6006,1.2798,ok
duckdb,query_85,4,0.3936,0.3912,0.4724,0.6767,ok
duckdb,query_86,4,0.5498,0.5473,0.4814,0.7707,ok
duckdb,query_87,4,0.9484,0.9453,3.4531,2.0570,ok
duckdb,query_88,4,0.7260,0.7236,0.6105,0.8771,ok
duckdb,query_89,4,0.5362,0.5339,0.5361,0.9544,ok
duckdb,query_9,4,0.6355,0.6328,1.6494,1.2303,ok
duckdb,query_90,4,0.6214,0.6187,0.9304,1.2892,ok
duckdb,query_91,4,0.6999,0.6976,0.9735,1.0481,ok
duckdb,query_92,4,0.8921,0.8806,1.0554,1.3917,ok
duckdb,query_93,4,2.5596,2.5410,1.2584,4.0205,ok
duckdb,query_94,4,1.2523,1.2497,1.1788,0.8280,ok
duckdb,query_95,4,0.6399,0.6374,0.6611,1.2810,ok
