suite,engine,query_name,median_s,n_success
tpcds,duckdb,query_79.sql,0.651000,10
tpcds,duckdb,query_80.sql,0.300000,10
tpcds,duckdb,query_81.sql,0.770000,10
tpcds,duckdb,query_82.sql,0.568500,10
tpcds,duckdb,query_83.sql,0.906000,10
tpcds,duckdb,query_84.sql,0.590500,10
tpcds,duckdb,query_85.sql,0.496000,10
tpcds,duckdb,query_86.sql,0.506000,10
tpcds,duckdb,query_87.sql,1.579000,10
tpcds,duckdb,query_88.sql,0.665500,10
tpcds,duckdb,query_89.sql,0.845000,10
tpcds,duckdb,query_90.sql,0.828500,10
tpcds,duckdb,query_91.sql,1.065000,10
tpcds,duckdb,query_92.sql,0.806000,10
tpcds,duckdb,query_93.sql,2.339000,10
tpcds,duckdb,query_94.sql,0.560500,10
tpcds,duckdb,query_95.sql,1.008500,10
tpcds,duckdb,query_96.sql,0.409500,10
tpcds,duckdb,query_97.sql,0.879000,10
tpcds,duckdb,query_98.sql,1.297500,10
tpcds,duckdb,query_99.sql,1.003000,10
tpcds,cedardb,query_1.sql,0.066000,10
tpcds,cedardb,query_2.sql,0.104000,10
tpcds,cedardb,query_3.sql,0.831500,10
tpcds,cedardb,query_4.sql,0.129000,10
tpcds,cedardb,query_5.sql,0.191000,10
tpcds,cedardb,query_6.sql,0.156000,10
tpcds,cedardb,query_7.sql,0.061500,10
tpcds,cedardb,query_8.sql,0.085500,10
tpcds,cedardb,query_9.sql,0.133500,10
tpcds,cedardb,query_10.sql,1.224000,10
tpcds,cedardb,query_11.sql,0.098500,10
tpcds,cedardb,query_12.sql,0.124500,10
tpcds,cedardb,query_13.sql,0.070500,10
tpcds,cedardb,query_14.sql,0.104500,10
tpcds,cedardb,query_15.sql,0.089500,10
tpcds,cedardb,query_16.sql,0.133500,10
tpcds,cedardb,query_17.sql,0.066000,10
tpcds,cedardb,query_18.sql,0.086500,10
tpcds,cedardb,query_19.sql,0.138000,10
tpcds,cedardb,query_20.sql,0.412500,10
tpcds,cedardb,query_21.sql,0.147500,10
tpcds,cedardb,query_22.sql,0.121000,10
tpcds,cedardb,query_23.sql,0.133000,10
tpcds,cedardb,query_24.sql,0.135500,10
tpcds,cedardb,query_25.sql,0.086000,10
tpcds,cedardb,query_26.sql,0.099000,10
tpcds,cedardb,query_27.sql,0.089500,10
tpcds,cedardb,query_28.sql,0.112500,10
tpcds,cedardb,query_29.sql,0.147500,10
tpcds,cedardb,query_30.sql,0.225500,10
tpcds,cedardb,query_31.sql,0.078500,10
tpcds,cedardb,query_32.sql,0.484000,10
tpcds,cedardb,query_33.sql,0.082500,10
tpcds,cedardb,query_34.sql,0.139500,10
tpcds,cedardb,query_35.sql,2.776500,10
tpcds,cedardb,query_36.sql,0.294000,10
tpcds,cedardb,query_37.sql,0.142500,10
tpcds,cedardb,query_38.sql,0.694000,10
tpcds,cedardb,query_39.sql,0.093000,10
tpcds,cedardb,query_40.sql,0.058000,10
tpcds,cedardb,query_41.sql,0.136500,10
tpcds,cedardb,query_42.sql,0.548000,10
tpcds,cedardb,query_43.sql,0.092000,10
tpcds,cedardb,query_44.sql,0.055500,10
tpcds,cedardb,query_45.sql,0.088500,10
tpcds,cedardb,query_46.sql,1.211000,10
tpcds,cedardb,query_47.sql,0.226500,10
tpcds,cedardb,query_48.sql,0.091500,10
tpcds,cedardb,query_49.sql,0.263500,10
tpcds,cedardb,query_50.sql,0.143000,10
tpcds,cedardb,query_51.sql,0.921500,10
tpcds,cedardb,query_52.sql,0.082500,10
tpcds,cedardb,query_53.sql,0.127000,10
tpcds,cedardb,query_54.sql,2.277500,10
tpcds,cedardb,query_55.sql,0.494000,10
